,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
177,177,177,177,177,0,0.001,1e-12,1e-09,0.078606961,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,59,4
178,178,178,178,178,0,0.001,1e-12,1e-12,0.082209515,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,61,4
179,179,179,179,179,0,0.001,1e-12,0.0,0.082209515,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,61,4
180,180,180,180,180,0,1e-06,0.001,0.001,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,4
181,181,181,181,181,0,1e-06,0.001,1e-06,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,4
182,182,182,182,182,0,1e-06,0.001,1e-09,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,4
183,183,183,183,183,0,1e-06,0.001,1e-12,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,4
184,184,184,184,184,0,1e-06,0.001,0.0,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,4
185,185,185,185,185,0,1e-06,1e-06,0.001,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,4
186,186,186,186,186,0,1e-06,1e-06,1e-06,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,4
187,187,187,187,187,0,1e-06,1e-06,1e-09,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,4
188,188,188,188,188,0,1e-06,1e-06,1e-12,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,4
189,189,189,189,189,0,1e-06,1e-06,0.0,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,4
190,190,190,190,190,0,1e-06,1e-09,0.001,0.057768255,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,55,4
191,191,191,191,191,0,1e-06,1e-09,1e-06,0.055906684000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,60,4
192,192,192,192,192,0,1e-06,1e-09,1e-09,0.055906684000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,60,4
