,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
166,166,166,0,0.001,1e-06,1e-06,0.076958629,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,27,8
167,167,167,0,0.001,1e-06,1e-09,0.076958629,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,27,8
168,168,168,0,0.001,1e-06,1e-12,0.076958629,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,27,8
169,169,169,0,0.001,1e-06,0.0,0.076958629,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,27,8
170,170,170,0,0.001,1e-09,0.001,0.070330323,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,24,8
171,171,171,0,0.001,1e-09,1e-06,0.076504485,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,41,8
172,172,172,0,0.001,1e-09,1e-09,0.07647384,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,44,8
173,173,173,0,0.001,1e-09,1e-12,0.07647384,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,44,8
174,174,174,0,0.001,1e-09,0.0,0.07647384,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,44,8
175,175,175,0,0.001,1e-12,0.001,0.070330323,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,24,8
176,176,176,0,0.001,1e-12,1e-06,0.075376741,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,41,8
177,177,177,0,0.001,1e-12,1e-09,0.08418865199999999,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,55,8
178,178,178,0,0.001,1e-12,1e-12,0.085625663,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,58,8
179,179,179,0,0.001,1e-12,0.0,0.085625663,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,58,8
180,180,180,0,1e-06,0.001,0.001,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
181,181,181,0,1e-06,0.001,1e-06,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
182,182,182,0,1e-06,0.001,1e-09,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
183,183,183,0,1e-06,0.001,1e-12,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
184,184,184,0,1e-06,0.001,0.0,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
185,185,185,0,1e-06,1e-06,0.001,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,8
186,186,186,0,1e-06,1e-06,1e-06,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,8
187,187,187,0,1e-06,1e-06,1e-09,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,8
188,188,188,0,1e-06,1e-06,1e-12,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,8
189,189,189,0,1e-06,1e-06,0.0,0.059974743,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,33,8
190,190,190,0,1e-06,1e-09,0.001,0.057896304,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,53,8
191,191,191,0,1e-06,1e-09,1e-06,0.055906684000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,60,8
192,192,192,0,1e-06,1e-09,1e-09,0.055906684000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,60,8
193,193,193,0,1e-06,1e-09,1e-12,0.055906684000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,60,8
194,194,194,0,1e-06,1e-09,0.0,0.055906684000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,60,8
